Date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,coin,NETT_DEALERS,COT_DEALERS,NETT_DEALERS/OI,New_WILLCO_DEALERS
2015-03-31,203212.0,44134.0,17776.0,7180.0,27038.0,28888.0,4153.0,28306.0,65604.0,15508.0,57934.0,5696.0,2754.0,187007.0,147559.0,16205.0,55653.0,Japanese Yen,263.58,40.98017033238813,0.0012970690707241697,0.0
2015-04-07,212354.0,43453.0,16407.0,7664.0,27401.0,27883.0,4242.0,38619.0,77334.0,13066.0,57704.0,5349.0,2690.0,194839.0,154635.0,17515.0,57719.0,Japanese Yen,270.46,41.31711306681555,0.001273627998530755,0.0
2015-04-14,218693.0,45917.0,23583.0,7015.0,28022.0,27534.0,4258.0,40499.0,81555.0,13773.0,58038.0,4743.0,2850.0,200372.0,165310.0,18321.0,53383.0,Japanese Yen,223.34,39.00944712986498,0.0010212489654447103,0.0
2015-04-21,215055.0,44041.0,28531.0,7899.0,32153.0,27644.0,4805.0,32879.0,70336.0,14732.0,58538.0,4074.0,3275.0,198322.0,161297.0,16733.0,53759.0,Japanese Yen,155.1,35.66744535699769,0.000721210853037595,0.0
2015-04-28,215293.0,43162.0,43472.0,8712.0,28227.0,27408.0,5240.0,33434.0,59661.0,14817.0,58599.0,4661.0,2957.0,195149.0,166928.0,20144.0,48365.0,Japanese Yen,-3.1,27.91972143455328,-1.4398981852638034e-05,0.0
2015-05-05,225927.0,63970.0,28939.0,10233.0,28155.0,27752.0,5072.0,24999.0,74934.0,13923.0,58624.0,6984.0,3256.0,208233.0,171093.0,17694.0,54834.0,Japanese Yen,350.31,45.227705704029106,0.0015505450875725345,0.36593476725477886
2015-05-12,217301.0,66124.0,34546.0,7530.0,27093.0,28705.0,4555.0,20145.0,67642.0,14432.0,57642.0,3611.0,2699.0,200220.0,163719.0,17082.0,53582.0,Japanese Yen,315.78,43.53662538138685,0.0014531916558138248,0.3431703719718452
2015-05-19,262357.0,81648.0,35710.0,10751.0,25610.0,28898.0,6027.0,43744.0,92611.0,16153.0,60319.0,4025.0,3363.0,247617.0,197539.0,14740.0,64818.0,Japanese Yen,459.38,50.5693254778661,0.0017509729109572072,0.412801304107174
2015-05-26,296407.0,111906.0,13890.0,16603.0,23821.0,28307.0,8579.0,30151.0,116745.0,22205.0,59521.0,8183.0,4518.0,277303.0,219030.0,19104.0,77377.0,Japanese Yen,980.16,76.07412740157403,0.003306804495170492,0.7766052762618124
2015-06-02,314519.0,125978.0,3000.0,16650.0,23159.0,35306.0,10392.0,26126.0,126663.0,29188.0,58721.0,11098.0,4890.0,295104.0,237187.0,19415.0,77331.0,Japanese Yen,1229.78,88.29907585619205,0.003910034051996859,1.0
